"광고그룹ID는 '광고다운로드' 파일에서 확인할 수 있으며, 입력은 최대 만(10000)개까지 가능합니다.",,,,,
"광고그룹 1개당 등록 가능한 소재는 총 5개 까지 입니다. 이미 광고그룹에 소재가 등록되어 있는 경우, 입력하신 새 소재 일부가 등록되지 않을 수 있습니다. 예시) 소재를 추가 하려는 광고그룹에 1개의 소재가 등록된 상태에서, 소재 추가를 5개 입력한 경우 입력한 순서대로 맨 위의 4개 소재만 등록되고 마지막줄 소재 등록은 실패 처리 됩니다.",,,,,
"소재의 연결 URL이 1개인 경우라도 PC/모바일 URL에 동일하게 2번 입력해주시고, PC/모바일 연결 URL을 별도로 가지고 있는 경우에만 URL을 PC /모바일 구분해서 입력하세요. URL은 http:// 등으로 시작하는 형식이어야 합니다.",,,,,
의료 광고 대상 광고주께서는 심의필번호를 등록하기 전에 ‘의료광고 심의필증’을 서류관리 메뉴를 통해 제출해야 검토가 진행됩니다.,,,,,
[중요] 7행부터 입력값이 시스템에 반영됩니다. 1~6행을 삭제하지 마세요. 엑셀에서 저장시 CSV 파일형식을 꼭 확인하시기 바랍니다.,,,,,
광고그룹ID(필수),제목(필수),설명(필수),PC URL(필수),모바일 URL(필수),의료광고 심의필 번호(의료광고인 경우에만 입력하세요. 6~12자)
grp-a001-01-000000072061472,예인건설 방수공사,예인건설산업 010-8257-0404 방수공사 전문업체입니다,https://yeinbuild.store,https://yeinbuild.store,
grp-a001-01-000000072062646,예인건설 옥상방수,예인건설산업 010-8257-0404 옥상방수 전문업체입니다,https://yeinbuild.store,https://yeinbuild.store,
grp-a001-01-000000072062651,예인건설 우레탄방수,예인건설산업 010-8257-0404 우레탄방수 전문업체입니다,https://yeinbuild.store,https://yeinbuild.store,
grp-a001-01-000000072062656,예인건설 주차장에폭시,예인건설산업 010-8257-0404 주차장에폭시 전문업체입니다,https://yeinbuild.store,https://yeinbuild.store,
grp-a001-01-000000072062658,예인건설 외벽방수,예인건설산업 010-8257-0404 외벽방수 전문업체입니다,https://yeinbuild.store,https://yeinbuild.store,
grp-a001-01-000000072062662,예인건설 누수탐지,예인건설산업 010-8257-0404 누수탐지 전문업체입니다,https://yeinbuild.store,https://yeinbuild.store,
grp-a001-01-000000072062666,예인건설 균열보수,예인건설산업 010-8257-0404 균열보수 전문업체입니다,https://yeinbuild.store,https://yeinbuild.store,
grp-a001-01-000000072062668,예인건설 도장공사,예인건설산업 010-8257-0404 도장공사 전문업체입니다,https://yeinbuild.store,https://yeinbuild.store,
grp-a001-01-000000072062670,예인건설 공장상가방수,예인건설산업 010-8257-0404 공장상가방수 전문업체입니다,https://yeinbuild.store,https://yeinbuild.store,
grp-a001-01-000000072062671,예인건설 방수견적,예인건설산업 010-8257-0404 방수견적 전문업체입니다,https://yeinbuild.store,https://yeinbuild.store,
grp-a001-01-000000072062675,예인건설 광명방수,예인건설산업 010-8257-0404 광명방수 전문업체입니다,https://yeinbuild.store,https://yeinbuild.store,
grp-a001-01-000000072062681,예인건설 시흥안산방수,예인건설산업 010-8257-0404 시흥안산방수 전문업체입니다,https://yeinbuild.store,https://yeinbuild.store,
grp-a001-01-000000072062686,예인건설 김포고양일산방수,예인건설산업 010-8257-0404 김포고양일산방수 전문업체입니다,https://yeinbuild.store,https://yeinbuild.store,
grp-a001-01-000000072062689,예인건설 의왕안양군포방수,예인건설산업 010-8257-0404 의왕안양군포방수 전문업체입니다,https://yeinbuild.store,https://yeinbuild.store,
grp-a001-01-000000072062690,예인건설 부천방수,예인건설산업 010-8257-0404 부천방수 전문업체입니다,https://yeinbuild.store,https://yeinbuild.store,
grp-a001-01-000000072062692,예인건설 수원화성평택방수,예인건설산업 010-8257-0404 수원화성평택방수 전문업체입니다,https://yeinbuild.store,https://yeinbuild.store,
grp-a001-01-000000072062693,예인건설 용인성남오산방수,예인건설산업 010-8257-0404 용인성남오산방수 전문업체입니다,https://yeinbuild.store,https://yeinbuild.store,
grp-a001-01-000000072062697,예인건설 파주방수,예인건설산업 010-8257-0404 파주방수 전문업체입니다,https://yeinbuild.store,https://yeinbuild.store,
grp-a001-01-000000072062700,예인건설 인천방수,예인건설산업 010-8257-0404 인천방수 전문업체입니다,https://yeinbuild.store,https://yeinbuild.store,
grp-a001-01-000000072062702,예인건설 서울방수,예인건설산업 010-8257-0404 서울방수 전문업체입니다,https://yeinbuild.store,https://yeinbuild.store,
