키워드를 추가 할 광고그룹ID 와 신규 키워드를 입력하세요.,,,,
광고그룹ID는 '광고다운로드' 파일에서 확인할 수 있습니다. 입찰가는 쉼표나 '원' 표시를 제외한 숫자만 입력해 주세요.,,,,
입력은 최대 만(10000)개까지 가능합니다. (광고그룹 당 키워드는 1000개까지 등록가능합니다),,,,
그룹의 웹사이트URL이 1개인 경우라도 PC/모바일 URL에 동일하게 2번 입력해주시고 PC/모바일 웹사이트를 별도로 가지고 있는 경우에만 URL을 PC /모바일 구분해서 입력하세요. URL은 http:// 등으로 시작하는 형식이어야 합니다.,,,,
[중요] 7행부터 입력값이 시스템에 반영됩니다. 1~6행을 삭제하지 마세요. 엑셀에서 저장시 CSV 파일형식을 꼭 확인하시기 바랍니다.,,,,
광고그룹ID(필수),키워드(필수),PC URL(선택),모바일 URL(선택),"키워드입찰가(선택,숫자만)"
grp-a001-01-000000072061472,방수공사,,,2500
grp-a001-01-000000072061472,방수업체,,,2100
grp-a001-01-000000072061472,건물방수업체,,,2500
grp-a001-01-000000072061472,시트방수,,,1200
grp-a001-01-000000072061472,옥상시트방수,,,2000
grp-a001-01-000000072061472,외벽발수,,,1200
grp-a001-01-000000072061472,외벽발수작업,,,1200
grp-a001-01-000000072061472,발수제시공,,,1200
grp-a001-01-000000072061472,지하방수공사,,,2000
grp-a001-01-000000072061472,방수시공,,,2000
grp-a001-01-000000072061472,방수공사전문,,,2000
grp-a001-01-000000072061472,방수전문업체,,,2000
grp-a001-01-000000072061472,건물방수공사,,,2000
grp-a001-01-000000072061472,건물방수시공,,,2000
grp-a001-01-000000072061472,건물방수전문,,,1200
grp-a001-01-000000072061472,빌딩방수,,,1200
grp-a001-01-000000072061472,빌딩방수공사,,,2000
grp-a001-01-000000072061472,빌딩방수업체,,,2000
grp-a001-01-000000072061472,건축물방수,,,1200
grp-a001-01-000000072061472,건축물방수공사,,,2000
grp-a001-01-000000072061472,건축물방수업체,,,2000
grp-a001-01-000000072061472,우레탄도막방수,,,2000
grp-a001-01-000000072061472,우레탄도막방수공사,,,2000
grp-a001-01-000000072061472,우레탄도막방수업체,,,2000
grp-a001-01-000000072061472,우레탄상도시공,,,1200
grp-a001-01-000000072061472,우레탄중도시공,,,1200
grp-a001-01-000000072061472,우레탄하도시공,,,1200
grp-a001-01-000000072061472,방수층보수,,,1500
grp-a001-01-000000072061472,방수층들뜸,,,1200
grp-a001-01-000000072061472,우레탄들뜸보수,,,1500
