"광고그룹ID는 '광고다운로드' 파일에서 확인할 수 있으며, 입력은 최대 만(10000)개까지 가능합니다. ",,,,,,,,,,,,,,,,,,,,,,,,,,
"파워링크 캠페인의 광고그룹 1개당 등록 가능한 소재는 단일형 소재 5개, 반응형 소재 3개 총 8개 입니다. 이미 광고그룹에 소재가 등록되어 있는 경우, 입력하신 새 소재 일부가 등록되지 않을 수 있습니다. 예시) 소재를 추가 하려는 광고그룹에 1개의 소재가 등록된 상태에서, 소재 추가를 5개 입력한 경우 입력한 순서대로 맨 위의 4개 소재만 등록되고 마지막줄 소재 등록은 실패 처리 됩니다.",,,,,,,,,,,,,,,,,,,,,,,,,,
"소재의 연결 URL이 1개인 경우라도 PC/모바일 URL에 동일하게 2번 입력해주시고, PC/모바일 연결 URL을 별도로 가지고 있는 경우에만 URL을 PC /모바일 구분해서 입력하세요. URL은 http:// 등으로 시작하는 형식이어야 합니다.",,,,,,,,,,,,,,,,,,,,,,,,,,
"제목3개, 설명2개는 필수 입력입니다. 위치고정 제목/설명 번호만 입력하세요. 복수 제목/설명 위치고정 필요시 쉼표로 구분해주세요. (예시 1,2,3  4,5)",,,,,,,,,,,,,,,,,,,,,,,,,,
[중요] 7행부터 입력값이 시스템에 반영됩니다. 1~6행을 삭제하지 마세요. 엑셀에서 저장시 CSV 파일형식을 꼭 확인하시기 바랍니다.,,,,,,,,,,,,,,,,,,,,,,,,,,
광고그룹ID(필수),PC URL(필수),모바일 URL(필수),제목1 (필수),제목2 (필수),제목3 (필수),제목4 (선택),제목5 (선택),제목6 (선택),제목7 (선택),제목8 (선택),제목9 (선택),제목10 (선택),제목11 (선택),제목12 (선택),제목13 (선택),제목14 (선택),제목15 (선택),설명1 (필수),설명2 (필수),설명3 (선택),설명4 (선택),첫 번째 제목 위치 고정(선택),두 번째 제목 위치 고정(선택),세 번째 제목 위치 고정(선택),첫 번째 설명 위치에 고정(선택),두 번째 설명 위치에 고정(선택)
grp-a001-01-000000072061472,https://yeinbuild.store,https://yeinbuild.store,예인건설 방수공사,방수공사 전문업체,당일 방문 견적,,,,,,,,,,,,,예인건설산업 010-8257-0404 방수공사 전문업체입니다,현장 실측 후 정확한 견적을 무료로 안내해드립니다,,,,,,,
grp-a001-01-000000072062646,https://yeinbuild.store,https://yeinbuild.store,예인건설 옥상방수,옥상방수 전문업체,당일 방문 견적,,,,,,,,,,,,,예인건설산업 010-8257-0404 옥상방수 전문업체입니다,현장 실측 후 정확한 견적을 무료로 안내해드립니다,,,,,,,
grp-a001-01-000000072062651,https://yeinbuild.store,https://yeinbuild.store,예인건설 우레탄방수,우레탄방수 전문업체,당일 방문 견적,,,,,,,,,,,,,예인건설산업 010-8257-0404 우레탄방수 전문업체입니다,현장 실측 후 정확한 견적을 무료로 안내해드립니다,,,,,,,
grp-a001-01-000000072062656,https://yeinbuild.store,https://yeinbuild.store,예인건설 주차장에폭시,주차장에폭시 전문업체,당일 방문 견적,,,,,,,,,,,,,예인건설산업 010-8257-0404 주차장에폭시 전문업체입니다,현장 실측 후 정확한 견적을 무료로 안내해드립니다,,,,,,,
grp-a001-01-000000072062658,https://yeinbuild.store,https://yeinbuild.store,예인건설 외벽방수,외벽방수 전문업체,당일 방문 견적,,,,,,,,,,,,,예인건설산업 010-8257-0404 외벽방수 전문업체입니다,현장 실측 후 정확한 견적을 무료로 안내해드립니다,,,,,,,
grp-a001-01-000000072062662,https://yeinbuild.store,https://yeinbuild.store,예인건설 누수탐지,누수탐지 전문업체,당일 방문 견적,,,,,,,,,,,,,예인건설산업 010-8257-0404 누수탐지 전문업체입니다,현장 실측 후 정확한 견적을 무료로 안내해드립니다,,,,,,,
grp-a001-01-000000072062666,https://yeinbuild.store,https://yeinbuild.store,예인건설 균열보수,균열보수 전문업체,당일 방문 견적,,,,,,,,,,,,,예인건설산업 010-8257-0404 균열보수 전문업체입니다,현장 실측 후 정확한 견적을 무료로 안내해드립니다,,,,,,,
grp-a001-01-000000072062668,https://yeinbuild.store,https://yeinbuild.store,예인건설 도장공사,도장공사 전문업체,당일 방문 견적,,,,,,,,,,,,,예인건설산업 010-8257-0404 도장공사 전문업체입니다,현장 실측 후 정확한 견적을 무료로 안내해드립니다,,,,,,,
grp-a001-01-000000072062670,https://yeinbuild.store,https://yeinbuild.store,예인건설 공장상가방수,공장상가방수 전문업체,당일 방문 견적,,,,,,,,,,,,,예인건설산업 010-8257-0404 공장상가방수 전문업체입니다,현장 실측 후 정확한 견적을 무료로 안내해드립니다,,,,,,,
grp-a001-01-000000072062671,https://yeinbuild.store,https://yeinbuild.store,예인건설 방수견적,방수견적 전문업체,당일 방문 견적,,,,,,,,,,,,,예인건설산업 010-8257-0404 방수견적 전문업체입니다,현장 실측 후 정확한 견적을 무료로 안내해드립니다,,,,,,,
grp-a001-01-000000072062675,https://yeinbuild.store,https://yeinbuild.store,예인건설 광명방수,광명방수 전문업체,당일 방문 견적,,,,,,,,,,,,,예인건설산업 010-8257-0404 광명방수 전문업체입니다,현장 실측 후 정확한 견적을 무료로 안내해드립니다,,,,,,,
grp-a001-01-000000072062681,https://yeinbuild.store,https://yeinbuild.store,예인건설 시흥안산방수,시흥안산방수 전문업체,당일 방문 견적,,,,,,,,,,,,,예인건설산업 010-8257-0404 시흥안산방수 전문업체입니다,현장 실측 후 정확한 견적을 무료로 안내해드립니다,,,,,,,
grp-a001-01-000000072062686,https://yeinbuild.store,https://yeinbuild.store,예인건설 김포고양일산방수,김포고양일산방수 전문업체,당일 방문 견적,,,,,,,,,,,,,예인건설산업 010-8257-0404 김포고양일산방수 전문업체입니다,현장 실측 후 정확한 견적을 무료로 안내해드립니다,,,,,,,
